Date,CPI
2020-01-01,282.02
2020-02-01,282.577
2020-03-01,281.975
2020-04-01,280.623
2020-05-01,282.092
2020-06-01,282.333
2020-07-01,283.624
2020-08-01,283.478
2020-09-01,284.551
2020-10-01,284.121
2020-11-01,283.291
2020-12-01,284.35
2021-01-01,285.525
2021-02-01,286.474
2021-03-01,287.481
2021-04-01,289.493
2021-05-01,290.991
2021-06-01,293.872
2021-07-01,293.553
2021-08-01,293.927
2021-09-01,295.488
2021-10-01,296.472
2021-11-01,297.49
2021-12-01,296.865
2022-01-01,300.164
2022-02-01,301.151
2022-03-01,305.024
2022-04-01,307.781
2022-05-01,309.243
2022-06-01,313.589
2022-07-01,312.615
2022-08-01,313.28
2022-09-01,313.88
2022-10-01,314.338
2022-11-01,314.975
2022-12-01,315.656
2023-01-01,318.151
2023-02-01,319.295
2023-03-01,319.038
2023-04-01,319.211
2023-05-01,320.002
2023-06-01,321.29
2023-07-01,322.496
2023-08-01,324.38
2023-09-01,325.613
2023-10-01,325.288
2023-11-01,324.52
2023-12-01,324.691
2024-01-01,328.006
2024-02-01,328.606
2024-03-01,329.829
2024-04-01,331.27
2024-05-01,332.633
2024-06-01,334.782
2024-07-01,335.642
2024-08-01,336.534
2024-09-01,337.889
2024-10-01,338.166
2024-11-01,338.535
2024-12-01,338.61
2025-01-01,341.144
2025-02-01,342.333
2025-03-01,342.508
