month,CPI
1,106.6
2,
3,108.1
4,
5,108.3
6,
7,109.5
8,
9,109.6
10,
11,110.7
12,
1,112.2
2,
3,111.5
4,
5,111.6
6,
7,111.5
8,
9,112.6
10,
11,113.1
12,
1,113.7
2,
3,114.5
4,
5,115.3
6,
7,116.2
8,
9,117.8
10,
11,118.5
12,
1,118.3
2,
3,119.2
4,
5,120.1
6,
7,120.7
8,
9,122.8
10,
11,123.2
12,
1,124.3
2,
3,126.1
4,
5,127.1
6,
7,127.8
8,
9,130.1
10,
11,130.5
12,
1,132.0
2,
3,133.8
4,
5,134.0
6,
7,135.7
8,
9,138.0
10,
11,138.4
12,
1,139.1
2,
3,139.3
4,
5,140.9
6,
7,140.9
8,
9,143.3
10,
11,142.6
12,
1,142.9
2,
3,143.0
4,
5,143.2
6,
7,144.8
8,
9,146.0
10,
11,146.9
12,
1,147.8
2,
3,148.5
4,
5,149.2
6,
7,149.2
8,
9,149.7
10,
11,150.9
12,
1,150.9
2,
3,151.5
4,
5,151.4
6,
7,151.8
8,
9,153.7
10,
11,153.0
12,
1,153.8
2,
3,155.1
4,
5,154.7
6,
7,156.1
8,
9,156.2
10,
11,155.2
12,
1,156.8
2,
3,158.4
4,
5,159.0
6,
7,160.1
8,
9,160.8
10,
11,161.2
12,
1,161.6
2,
3,161.9
4,
5,162.1
6,
7,162.9
8,
9,163.6
10,
11,161.8
12,
1,162.5
2,
3,163.5
4,
5,163.6
6,
7,164.9
8,
9,165.2
10,
11,164.5
12,
1,165.4
2,
3,165.9
4,
5,167.0
6,
7,168.3
8,
9,169.8
10,
11,169.1
12,
1,169.8
2,
3,173.2
4,
5,172.5
6,
7,174.8
8,
9,175.0
10,
11,175.3
12,
1,175.9
2,
3,177.2
4,
5,178.0
6,
7,179.2
8,
9,180.9
10,
11,179.5
12,
1,180.0
2,
3,181.9
4,
5,183.6
6,
7,184.2
8,
9,185.8
10,
11,185.4
12,
1,186.3
2,
3,188.8
4,
5,188.7
6,
7,190.2
8,
9,190.8
10,
11,190.4
12,
1,190.7
2,
3,192.8
4,
5,194.1
6,
7,195.4
8,
9,196.5
10,
11,197.2
12,
1,
2,106.2
3,
4,107.0
5,
6,108.3
7,
8,109.5
9,
10,109.6
11,
12,109.8
1,
2,110.6
3,
4,108.8
5,
6,109.9
7,
8,110.4
9,
10,110.3
11,
12,109.3
1,
2,110.9
3,
4,112.2
5,
6,112.9
7,
8,113.5
9,
10,114.9
11,
12,113.9
1,
2,114.0
3,
4,115.4
5,
6,115.6
7,
8,117.2
9,
10,117.9
11,
12,117.2
1,
2,117.5
3,
4,118.7
5,
6,120.0
7,
8,120.0
9,
10,121.4
11,
12,120.5
1,
2,122.2
3,
4,122.9
5,
6,123.8
7,
8,126.0
9,
10,129.5
11,
12,128.4
1,
2,129.4
3,
4,129.5
5,
6,130.1
7,
8,131.1
