state,year,month,CPI
GA,1985,1,106.6
GA,1985,3,108.1
GA,1985,5,108.3
GA,1985,7,109.5
GA,1985,9,109.6
GA,1985,11,110.7
GA,1986,1,112.2
GA,1986,3,111.5
GA,1986,5,111.6
GA,1986,7,111.5
GA,1986,9,112.6
GA,1986,11,113.1
GA,1987,1,113.7
GA,1987,3,114.5
GA,1987,5,115.3
GA,1987,7,116.2
GA,1987,9,117.8
GA,1987,11,118.5
GA,1988,1,118.3
GA,1988,3,119.2
GA,1988,5,120.1
GA,1988,7,120.7
GA,1988,9,122.8
GA,1988,11,123.2
GA,1989,1,124.3
GA,1989,3,126.1
GA,1989,5,127.1
GA,1989,7,127.8
GA,1989,9,130.1
GA,1989,11,130.5
GA,1990,1,132.0
GA,1990,3,133.8
GA,1990,5,134.0
GA,1990,7,135.7
GA,1990,9,138.0
GA,1990,11,138.4
GA,1991,1,139.1
GA,1991,3,139.3
GA,1991,5,140.9
GA,1991,7,140.9
GA,1991,9,143.3
GA,1991,11,142.6
GA,1992,1,142.9
GA,1992,3,143.0
GA,1992,5,143.2
GA,1992,7,144.8
GA,1992,9,146.0
GA,1992,11,146.9
GA,1993,1,147.8
GA,1993,3,148.5
GA,1993,5,149.2
GA,1993,7,149.2
GA,1993,9,149.7
GA,1993,11,150.9
GA,1994,1,150.9
GA,1994,3,151.5
GA,1994,5,151.4
GA,1994,7,151.8
GA,1994,9,153.7
GA,1994,11,153.0
GA,1995,1,153.8
GA,1995,3,155.1
GA,1995,5,154.7
GA,1995,7,156.1
GA,1995,9,156.2
GA,1995,11,155.2
GA,1996,1,156.8
GA,1996,3,158.4
GA,1996,5,159.0
GA,1996,7,160.1
GA,1996,9,160.8
GA,1996,11,161.2
GA,1997,1,161.6
GA,1997,3,161.9
GA,1997,5,162.1
GA,1997,7,162.9
GA,1997,9,163.6
GA,1997,11,161.8
GA,1998,1,162.5
GA,1998,3,163.5
GA,1998,5,163.6
GA,1998,7,164.9
GA,1998,9,165.2
GA,1998,11,164.5
GA,1999,1,165.4
GA,1999,3,165.9
GA,1999,5,167.0
GA,1999,7,168.3
GA,1999,9,169.8
GA,1999,11,169.1
GA,2000,1,169.8
GA,2000,3,173.2
GA,2000,5,172.5
GA,2000,7,174.8
GA,2000,9,175.0
GA,2000,11,175.3
GA,2001,1,175.9
GA,2001,3,177.2
GA,2001,5,178.0
GA,2001,7,179.2
GA,2001,9,180.9
GA,2001,11,179.5
GA,2002,1,180.0
GA,2002,3,181.9
GA,2002,5,183.6
GA,2002,7,184.2
GA,2002,9,185.8
GA,2002,11,185.4
GA,2003,1,186.3
GA,2003,3,188.8
GA,2003,5,188.7
GA,2003,7,190.2
GA,2003,9,190.8
GA,2003,11,190.4
GA,2004,1,190.7
GA,2004,3,192.8
GA,2004,5,194.1
GA,2004,7,195.4
GA,2004,9,196.5
GA,2004,11,197.2
NC,1985,2,106.2
NC,1985,4,107.0
NC,1985,6,108.3
NC,1985,8,109.5
NC,1985,10,109.6
NC,1985,12,109.8
NC,1986,2,110.6
NC,1986,4,108.8
NC,1986,6,109.9
NC,1986,8,110.4
NC,1986,10,110.3
NC,1986,12,109.3
NC,1987,2,110.9
NC,1987,4,112.2
NC,1987,6,112.9
NC,1987,8,113.5
NC,1987,10,114.9
NC,1987,12,113.9
NC,1988,2,114.0
NC,1988,4,115.4
NC,1988,6,115.6
NC,1988,8,117.2
NC,1988,10,117.9
NC,1988,12,117.2
NC,1989,2,117.5
NC,1989,4,118.7
NC,1989,6,120.0
NC,1989,8,120.0
NC,1989,10,121.4
NC,1989,12,120.5
NC,1990,2,122.2
NC,1990,4,122.9
NC,1990,6,123.8
NC,1990,8,126.0
NC,1990,10,129.5
NC,1990,12,128.4
NC,1991,2,129.4
NC,1991,4,129.5
NC,1991,6,130.1
NC,1991,8,131.1
NC,1991,10,133.6
NC,1991,12,132.0
NC,1992,2,132.4
NC,1992,4,132.5
NC,1992,6,134.2
NC,1992,8,134.4
NC,1992,10,136.1
NC,1992,12,134.6
NC,1993,2,135.4
NC,1993,4,137.0
NC,1993,6,136.2
NC,1993,8,138.1
NC,1993,10,139.6
NC,1993,12,138.8
NC,1994,2,139.2
NC,1994,4,140.3
NC,1994,6,141.4
NC,1994,8,142.2
NC,1994,10,142.8
NC,1994,12,141.9
NC,1995,2,143.3
NC,1995,4,145.0
NC,1995,6,144.4
NC,1995,8,145.1
NC,1995,10,146.8
NC,1995,12,145.5
NC,1996,2,146.2
NC,1996,4,148.5
NC,1996,6,149.4
NC,1996,8,149.5
NC,1996,10,150.7
NC,1996,12,150.0
NC,1997,2,150.7
NC,1997,4,150.6
NC,1997,6,151.4
NC,1997,8,151.2
NC,1997,10,152.8
NC,1997,12,152.5
NC,1998,1,152.1
NC,1998,3,153.0
NC,1998,5,153.0
NC,1998,7,154.2
NC,1998,9,154.5
NC,1998,11,154.0
NC,1999,1,155.0
NC,1999,3,156.4
NC,1999,5,157.2
NC,1999,7,158.3
NC,1999,9,159.8
NC,1999,11,160.1
NC,2000,1,160.4
NC,2000,3,163.1
NC,2000,5,163.2
NC,2000,7,166.2
NC,2000,9,166.9
NC,2000,11,166.8
NC,2001,1,167.3
NC,2001,3,168.9
NC,2001,5,169.4
NC,2001,7,171.5
NC,2001,9,172.8
NC,2001,11,171.5
NC,2002,1,170.6
NC,2002,3,172.1
NC,2002,5,172.9
NC,2002,7,172.9
NC,2002,9,173.2
NC,2002,11,173.6
NC,2003,1,174.0
NC,2003,3,176.8
NC,2003,5,176.9
NC,2003,7,176.5
NC,2003,9,177.0
NC,2003,11,175.9
