region,year,month,cpi
Northeast,1987,1,113.300
Northeast,1987,2,113.600
Northeast,1987,3,114.200
Northeast,1987,4,115.000
Northeast,1987,5,115.400
Northeast,1987,6,115.800
Northeast,1987,7,116.000
Northeast,1987,8,116.900
Northeast,1987,9,117.500
Northeast,1987,10,118.100
Northeast,1987,11,118.300
Northeast,1987,12,118.300
Northeast,1988,1,118.900
Northeast,1988,2,119.200
Northeast,1988,3,119.600
Northeast,1988,4,120.400
Northeast,1988,5,120.700
Northeast,1988,6,121.400
Northeast,1988,7,121.800
Northeast,1988,8,122.500
Northeast,1988,9,123.900
Northeast,1988,10,124.100
Northeast,1988,11,124.400
Northeast,1988,12,124.500
Northeast,1989,1,125.400
Northeast,1989,2,125.800
Northeast,1989,3,126.700
Northeast,1989,4,127.400
Northeast,1989,5,128.300
Northeast,1989,6,128.500
Northeast,1989,7,129.000
Northeast,1989,8,129.100
Northeast,1989,9,130.000
Northeast,1989,10,130.600
Northeast,1989,11,131.100
Northeast,1989,12,131.300
Northeast,1990,1,132.900
Northeast,1990,2,133.100
Northeast,1990,3,134.100
Northeast,1990,4,134.500
Northeast,1990,5,134.700
Northeast,1990,6,134.900
Northeast,1990,7,136.000
Northeast,1990,8,137.400
Northeast,1990,9,138.600
Northeast,1990,10,139.400
Northeast,1990,11,139.700
Northeast,1990,12,139.700
Northeast,1991,1,140.900
Northeast,1991,2,141.200
Northeast,1991,3,141.400
Northeast,1991,4,141.600
Northeast,1991,5,141.700
Northeast,1991,6,142.100
Northeast,1991,7,142.400
Northeast,1991,8,142.900
Northeast,1991,9,143.600
Northeast,1991,10,143.700
Northeast,1991,11,144.300
Northeast,1991,12,144.600
Northeast,1992,1,144.900
Northeast,1992,2,145.300
Northeast,1992,3,146.200
Northeast,1992,4,146.300
Northeast,1992,5,146.300
Northeast,1992,6,147.000
Northeast,1992,7,147.500
Northeast,1992,8,148.200
Northeast,1992,9,148.500
Northeast,1992,10,148.900
Northeast,1992,11,149.000
Northeast,1992,12,148.900
Northeast,1993,1,149.700
Northeast,1993,2,150.400
Northeast,1993,3,150.900
Northeast,1993,4,151.100
Northeast,1993,5,150.800
Northeast,1993,6,151.200
Northeast,1993,7,151.400
Northeast,1993,8,151.700
Northeast,1993,9,151.800
Northeast,1993,10,152.500
Northeast,1993,11,152.700
Northeast,1993,12,152.700
Northeast,1994,1,153.200
Northeast,1994,2,154.000
Northeast,1994,3,154.300
Northeast,1994,4,154.400
Northeast,1994,5,154.200
Northeast,1994,6,154.800
Northeast,1994,7,155.200
Northeast,1994,8,155.900
Northeast,1994,9,156.100
Northeast,1994,10,156.400
Northeast,1994,11,156.700
Northeast,1994,12,156.300
Northeast,1995,1,157.100
Northeast,1995,2,157.600
Northeast,1995,3,158.000
Northeast,1995,4,158.300
Northeast,1995,5,158.500
Northeast,1995,6,158.900
Northeast,1995,7,159.200
Northeast,1995,8,159.700
Northeast,1995,9,160.000
Northeast,1995,10,160.300
Northeast,1995,11,160.500
Northeast,1995,12,160.500
Northeast,1996,1,161.400
Northeast,1996,2,162.200
Northeast,1996,3,162.800
Northeast,1996,4,162.900
Northeast,1996,5,163.000
Northeast,1996,6,163.100
Northeast,1996,7,163.400
Northeast,1996,8,164.000
Northeast,1996,9,164.600
Northeast,1996,10,165.100
Northeast,1996,11,165.400
Northeast,1996,12,165.700
Northeast,1997,1,166.200
Northeast,1997,2,166.900
Northeast,1997,3,167.300
Northeast,1997,4,167.100
Northeast,1997,5,166.800
Northeast,1997,6,167.000
Northeast,1997,7,167.600
Northeast,1997,8,167.800
Northeast,1997,9,168.400
Northeast,1997,10,168.700
Northeast,1997,11,168.500
Northeast,1997,12,168.400
Northeast,1998,1,168.800
Northeast,1998,2,169.100
Northeast,1998,3,169.300
Northeast,1998,4,169.500
Northeast,1998,5,169.400
Northeast,1998,6,169.600
Northeast,1998,7,169.900
Northeast,1998,8,170.500
Northeast,1998,9,170.600
Northeast,1998,10,171.300
Northeast,1998,11,171.200
Northeast,1998,12,171.200
Northeast,1999,1,171.400
Northeast,1999,2,171.600
Northeast,1999,3,171.900
Northeast,1999,4,172.800
Northeast,1999,5,172.800
Northeast,1999,6,173.100
Northeast,1999,7,173.400
Northeast,1999,8,174.100
Northeast,1999,9,174.800
Northeast,1999,10,175.500
Northeast,1999,11,175.500
Northeast,1999,12,175.500
Northeast,2000,1,176.200
Northeast,2000,2,177.600
Northeast,2000,3,178.500
Northeast,2000,4,178.500
Northeast,2000,5,178.400
Northeast,2000,6,179.000
Northeast,2000,7,179.800
Northeast,2000,8,179.900
Northeast,2000,9,180.700
Northeast,2000,10,181.200
Northeast,2000,11,181.500
Northeast,2000,12,181.300
Northeast,2001,1,182.200
Northeast,2001,2,182.800
Northeast,2001,3,183.700
Northeast,2001,4,184.200
Northeast,2001,5,184.600
Northeast,2001,6,185.300
Northeast,2001,7,185.000
Northeast,2001,8,185.100
Northeast,2001,9,185.100
Northeast,2001,10,185.000
Northeast,2001,11,185.000
Northeast,2001,12,184.200
Northeast,2002,1,184.900
Northeast,2002,2,186.100
Northeast,2002,3,187.000
Northeast,2002,4,187.800
Northeast,2002,5,187.700
Northeast,2002,6,187.800
Northeast,2002,7,188.300
Northeast,2002,8,189.300
Northeast,2002,9,189.500
Northeast,2002,10,189.900
Northeast,2002,11,190.100
Northeast,2002,12,189.600
Northeast,2003,1,190.500
Northeast,2003,2,191.700
Northeast,2003,3,193.000
Northeast,2003,4,192.600
Northeast,2003,5,192.700
Northeast,2003,6,192.800
Northeast,2003,7,193.500
Northeast,2003,8,194.300
Northeast,2003,9,195.000
Northeast,2003,10,195.400
Northeast,2003,11,195.100
Northeast,2003,12,194.900
Northeast,2004,1,195.900
Northeast,2004,2,196.800
Northeast,2004,3,198.600
Northeast,2004,4,199.400
Northeast,2004,5,199.900
Northeast,2004,6,201.100
Northeast,2004,7,201.000
Northeast,2004,8,201.000
Northeast,2004,9,201.200
Northeast,2004,10,202.500
Northeast,2004,11,202.600
Northeast,2004,12,201.900
Northeast,2005,1,202.600
Northeast,2005,2,203.600
Northeast,2005,3,206.000
Northeast,2005,4,206.900
Northeast,2005,5,206.200
Northeast,2005,6,206.200
Northeast,2005,7,207.900
Northeast,2005,8,208.700
Northeast,2005,9,210.800
Northeast,2005,10,211.500
Northeast,2005,11,210.000
Northeast,2005,12,209.000
Northeast,2006,1,211.000
Northeast,2006,2,211.600
Northeast,2006,3,212.800
Northeast,2006,4,214.700
Northeast,2006,5,215.700
Northeast,2006,6,216.700
Northeast,2006,7,217.500
Northeast,2006,8,218.100
Northeast,2006,9,216.300
Northeast,2006,10,215.200
Northeast,2006,11,214.800
Northeast,2006,12,215.200
Northeast,2007,1,215.813
Northeast,2007,2,216.651
Northeast,2007,3,218.334
Northeast,2007,4,219.501
Northeast,2007,5,220.591
Northeast,2007,6,221.579
Northeast,2007,7,221.945
Northeast,2007,8,221.559
Northeast,2007,9,221.436
Northeast,2007,10,221.951
Northeast,2007,11,223.356
Northeast,2007,12,223.425
Northeast,2008,1,224.325
Northeast,2008,2,225.213
Northeast,2008,3,226.926
Northeast,2008,4,228.133
Northeast,2008,5,230.089
Northeast,2008,6,232.649
Northeast,2008,7,234.545
Northeast,2008,8,233.788
Northeast,2008,9,232.841
Northeast,2008,10,230.837
Northeast,2008,11,227.236
Northeast,2008,12,225.091
Northeast,2009,1,225.436
Northeast,2009,2,226.754
Northeast,2009,3,227.309
Northeast,2009,4,227.840
Northeast,2009,5,228.136
Northeast,2009,6,229.930
Northeast,2009,7,230.154
Northeast,2009,8,230.883
Northeast,2009,9,231.200
Northeast,2009,10,231.304
Northeast,2009,11,231.708
Northeast,2009,12,231.462
Northeast,2010,1,232.294
Northeast,2010,2,232.382
Northeast,2010,3,233.188
Northeast,2010,4,233.615
Northeast,2010,5,234.130
Northeast,2010,6,233.834
Northeast,2010,7,233.885
Northeast,2010,8,234.150
Northeast,2010,9,234.027
Northeast,2010,10,234.671
Northeast,2010,11,235.094
Northeast,2010,12,235.141
Northeast,2011,1,235.969
Northeast,2011,2,237.110
Northeast,2011,3,239.074
Northeast,2011,4,240.267
Northeast,2011,5,241.566
Northeast,2011,6,241.690
Northeast,2011,7,242.282
Northeast,2011,8,243.033
Northeast,2011,9,243.323
Northeast,2011,10,243.014
Northeast,2011,11,242.652
Northeast,2011,12,241.987
Northeast,2012,1,242.879
Northeast,2012,2,243.850
